================ Training Loss (Fri Jun  5 17:44:54 2020) ================
(epoch: 60, iters: 180, time: 1.288, data: 0.001) D_A: 0.255 G_A: 0.571 cycle_A: 1.011 idt_A: 0.744 D_B: 0.443 G_B: 0.902 cycle_B: 1.614 idt_B: 0.422 
(epoch: 61, iters: 100, time: 0.734, data: 0.117) D_A: 0.350 G_A: 0.719 cycle_A: 3.295 idt_A: 1.235 D_B: 0.236 G_B: 0.235 cycle_B: 2.458 idt_B: 1.646 
(epoch: 62, iters: 20, time: 0.735, data: 0.001) D_A: 0.227 G_A: 0.290 cycle_A: 2.907 idt_A: 0.516 D_B: 0.104 G_B: 0.488 cycle_B: 1.098 idt_B: 1.128 
(epoch: 62, iters: 120, time: 0.734, data: 0.001) D_A: 0.693 G_A: 0.556 cycle_A: 0.756 idt_A: 1.005 D_B: 0.530 G_B: 0.051 cycle_B: 1.431 idt_B: 0.554 
(epoch: 63, iters: 40, time: 1.381, data: 0.001) D_A: 0.266 G_A: 0.329 cycle_A: 1.419 idt_A: 0.889 D_B: 0.358 G_B: 0.056 cycle_B: 1.478 idt_B: 0.567 
(epoch: 63, iters: 140, time: 0.733, data: 0.001) D_A: 0.274 G_A: 0.567 cycle_A: 1.012 idt_A: 0.611 D_B: 0.263 G_B: 0.055 cycle_B: 1.310 idt_B: 0.526 
(epoch: 64, iters: 60, time: 0.734, data: 0.001) D_A: 0.140 G_A: 0.256 cycle_A: 1.252 idt_A: 0.888 D_B: 0.374 G_B: 0.282 cycle_B: 1.841 idt_B: 0.585 
(epoch: 64, iters: 160, time: 0.734, data: 0.002) D_A: 0.159 G_A: 0.356 cycle_A: 1.265 idt_A: 0.615 D_B: 0.254 G_B: 0.467 cycle_B: 1.392 idt_B: 0.528 
(epoch: 65, iters: 80, time: 1.303, data: 0.001) D_A: 0.301 G_A: 0.201 cycle_A: 3.157 idt_A: 1.316 D_B: 0.209 G_B: 0.065 cycle_B: 2.111 idt_B: 1.845 
(epoch: 65, iters: 180, time: 0.740, data: 0.001) D_A: 0.199 G_A: 0.329 cycle_A: 0.859 idt_A: 0.375 D_B: 0.333 G_B: 0.204 cycle_B: 0.929 idt_B: 0.363 
(epoch: 66, iters: 100, time: 0.737, data: 0.120) D_A: 0.176 G_A: 0.163 cycle_A: 0.854 idt_A: 0.628 D_B: 0.226 G_B: 0.211 cycle_B: 1.552 idt_B: 0.523 
(epoch: 67, iters: 20, time: 0.735, data: 0.001) D_A: 0.205 G_A: 0.269 cycle_A: 0.971 idt_A: 0.644 D_B: 0.320 G_B: 0.374 cycle_B: 1.616 idt_B: 0.313 
(epoch: 67, iters: 120, time: 1.320, data: 0.001) D_A: 0.073 G_A: 0.805 cycle_A: 1.160 idt_A: 0.510 D_B: 0.267 G_B: 0.160 cycle_B: 1.145 idt_B: 0.505 
(epoch: 68, iters: 40, time: 0.736, data: 0.002) D_A: 0.263 G_A: 0.127 cycle_A: 1.082 idt_A: 0.388 D_B: 0.381 G_B: 1.054 cycle_B: 0.931 idt_B: 0.360 
